"Name","ID","Runtime","Sweep","accuracy","epoch","n_epochs","batch_size","n_mels","n_fft","win_length","hop_length","f_max","mix_up","normalize","learning_rate","arch","valid_loss","train_loss"
"rich-sweep-19","t4i4falm","1131","l0smv5qe","0.8999999761581421","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet101","0.36232712864875793","0.3496263027191162"
"serene-sweep-18","nc369opv","1125","l0smv5qe","0.875","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet101","0.4226491153240204","0.3381269872188568"
"hardy-sweep-17","rz2yqhpo","1100","l0smv5qe","0.8899999856948853","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet101","0.38377609848976135","0.34777724742889404"
"splendid-sweep-16","hvtjsww4","1116","l0smv5qe","0.8924999833106995","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet101","0.3672797679901123","0.379181832075119"
"visionary-sweep-15","fuira9t8","837","l0smv5qe","0.8949999809265137","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet50","0.3886154890060425","0.3770413398742676"
"lively-sweep-14","wai6gn8y","815","l0smv5qe","0.9075000286102296","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet50","0.3481980860233307","0.3582610487937927"
"balmy-sweep-13","0efacixu","814","l0smv5qe","0.8849999904632568","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet50","0.3986460864543915","0.3687390685081482"
"genial-sweep-12","rv0n9spk","829","l0smv5qe","0.8949999809265137","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet50","0.3449781537055969","0.3598942458629608"
"confused-sweep-11","q9k2gp93","828","l0smv5qe","0.9075000286102296","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet50","0.3838993906974793","0.3482789397239685"
"woven-sweep-10","aamzvlbp","637","l0smv5qe","0.912500023841858","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet34","0.35200557112693787","0.3752117455005646"
"vague-sweep-9","vbahgqj0","655","l0smv5qe","0.9049999713897704","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet34","0.36054298281669617","0.3673730194568634"
"earnest-sweep-8","vgow2kex","653","l0smv5qe","0.9024999737739564","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet34","0.3568505048751831","0.3687446415424347"
"scarlet-sweep-5","z22s9mqa","547","l0smv5qe","0.8974999785423279","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.41408008337020874","0.3717358708381653"
"fragrant-sweep-1","ojs9hy23","570","l0smv5qe","0.8974999785423279","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.393106073141098","0.3642139434814453"
"atomic-sweep-4","oguqpnvv","543","l0smv5qe","0.887499988079071","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.38741031289100647","0.3933644890785218"
